policy_number	accepts_policy_number	policy_transaction_type_id	ownership	claim_free_year_buildings	claim_free_year_contents	property_type	property_sub_type	exterior_wall_type	property_built_era	flat_roof	listed_building	roof_type	employment_status	property_built_year	claims_history_count	voluntary_excess_amount	compulsory_excess_amount	policy_excess_amount	subsidence_excess_amount	escape_of_water_excess_amount	policyholder_age	accepts_coverage_product_id	preferred_payment_schedule_id	accepts_payment_schedule_id	contract_renewal_flag	floodre_ceded_flag	auto_renewal_intent_flag	flat_roof	cais_group_risk	credit_score	experian_point_of_quote_score	quote_to_inception_banding
	8090266928	2	Owned	2	2	House	Mid Terraced House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	UNEMP	2000		100	100	200	1000	550	42	3	2	4	0	0	0	0-50	14	699.00	0.00	2-5
	8090266043	2	Owned	2	2	Dorma Bungalow	Detached Dorma Bungalow	Stone Construction		0-50	NOT_LIS	ASPHALT	DIASB	1991		150	100	250	1000	550	33	1	2	3	0	0	0	0-50	14	699.00	0.00	2-5
	8090266159	2	Owned	1	1	House	Detached House	Brick		0-25	NOT_LIS	CONCRETE	SEMPF	1987		100	100	200	1000	550	37	1	1	3	0	0	0	0-25	14	699.00	0.00	2-5
	8090266266	2	Owned	4	4	Bungalow	Link Detached Bungalow	Concrete		0-50	NOT_LIS	SLATE	VOLUN	1995		200	100	300	1000	550	43	3	2	3	0	0	0	0-50	14	699.00	0.00	2-5
	8090266639	2	Owned	1	1	House	Mid Terraced House	Brick		0-25	NOT_LIS	TILE	DIASB	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-25	14	699.00	0.00	2-5
	8090263974	2	Owned	4	4	Dorma Bungalow	Detached Dorma Bungalow	Stone Construction		0-50	NOT_LIS	SLATE	STUD	2000		150	100	250	1000	550	37	1	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090265649	2	Owned	2	2	Flat	Flat - Ground Floor	Brick		0-25	NOT_LIS	ASPHALT	INDM	1989		100	100	200	1000	550	35	3	2	4	0	0	0	0-25	14	699.00	0.00	0
	8090264659	2	Owned	2	2	House	Semi-Detached House	Timber Frame with Brick Walls		0-25	NOT_LIS	ASPHALT	SEMPF	2000		100	100	200	1000	550	42	1	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090265243	2	Owned	1	1	Dorma Bungalow	Semi-Detached Dorma Bungalow	Brick		0-25	NOT_LIS	CONCRETE	INDM	1985		100	100	200	1000	550	38	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090262885	2	Owned	1	1	House	Semi-Detached House	Brick		0-50	NOT_LIS	TILE	RETD	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090265920	2	Owned	2	2	Flat	Flat - Ground Floor	Stone Construction		0-50	NOT_LIS	ASPHALT	STUD	1991		150	100	250	1000	550	43	1	2	3	0	0	0	0-50	14	699.00	0.00	2-5
	8090263883	2	Owned	2	2	House	Detached House	Brick		0-25	NOT_LIS	ASPHALT	EMPF	1997		100	100	200	1000	550	37	3	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090263081	2	Owned	1	1	House	Mid Terraced House	Concrete		0-50	NOT_LIS	CONCRETE	RETD	2000		100	100	200	1000	550	42	1	1	4	0	0	0	0-50	14	699.00	0.00	0
	8090266795	2	Owned	2	2	House	Mid Terraced House	Timber Frame with Brick Walls		0-25	NOT_LIS	ASPHALT	RETD	2000		100	100	200	1000	550	42	3	2	3	0	0	0	0-25	14	699.00	0.00	2-5
	8090264196	2	Owned	3	3	Dorma Bungalow	Mid Terraced Dorma Bungalow	Brick		0-25	NOT_LIS	TILE	SEMPF	1984		100	100	200	1000	550	34	3	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090264808	2	Owned	1	1	House	Semi-Detached House	Concrete		0-25	NOT_LIS	CONCRETE	UNEMP	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090266597	2	Owned	2	2	House	Mid Terraced House	Stone Construction		0-50	NOT_LIS	SLATE	RETD	2000		100	100	200	1000	550	42	1	2	3	0	0	0	0-50	14	699.00	0.00	2-5
	8090266530	2	Owned	2	2	House	Mid Terraced House	Timber Frame with Brick Walls		0-25	NOT_LIS	ASPHALT	UNEMP	2000		100	100	200	1000	550	42	1	2	3	0	0	0	0-25	14	699.00	0.00	2-5
	8090262513	2	Owned	1	1	House	Semi-Detached House	Brick		0-50	NOT_LIS	TILE	SEMPF	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090265060	2	Owned	2	2	House	Detached House	Stone Construction		0-25	NOT_LIS	SLATE	SEMPF	2000		100	100	200	1000	550	42	3	2	4	0	0	0	0-25	14	699.00	0.00	0
	8090264774	2	Owned	2	2	House	Semi-Detached House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	SEMPF	2000		100	100	200	1000	550	42	1	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090262455	2	Owned	1	1	House	Semi-Detached House	Concrete		0-25	NOT_LIS	CONCRETE	UNEMP	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090262802	2	Owned	1	1	House	Detached House	Brick		0-25	NOT_LIS	TILE	HSWF	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090264154	2	Owned	3	3	Bungalow	End Terraced Bungalow	Concrete		0-50	NOT_LIS	TILE	HSWF	1991		200	100	300	1000	550	42	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090262638	2	Owned	2	2	House	Mid Terraced House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	DIASB	2000		100	100	200	1000	550	42	1	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090266001	2	Owned	2	2	Bungalow	Link Detached Bungalow	Brick		0-25	NOT_LIS	ASPHALT	EMPF	1990		100	100	200	1000	550	42	1	2	3	0	0	0	0-25	14	699.00	0.00	2-5
	8090265417	2	Owned	2	2	Bungalow	Detached Bungalow	Concrete		0-50	NOT_LIS	ASPHALT	HSWF	1992		200	100	300	1000	550	43	1	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090264824	2	Owned	2	2	House	Detached House	Stone Construction		0-25	NOT_LIS	SLATE	HSWF	2000		100	100	200	1000	550	42	3	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090264428	2	Owned	2	2	Flat	Flat - Ground Floor	Stone Construction		0-50	NOT_LIS	ASPHALT	STUD	1994		150	100	250	1000	550	34	3	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090262950	2	Owned	2	2	House	Mid Terraced House	Stone Construction		0-50	NOT_LIS	SLATE	DIASB	2000		100	100	200	1000	550	42	1	2	4	0	0	0	0-50	14	699.00	0.00	0
	8090266126	2	Owned	2	2	Flat	Flat - Ground Floor	Brick		0-25	NOT_LIS	ASPHALT	INDM	1982		100	100	200	1000	550	37	1	2	3	0	0	0	0-25	14	699.00	0.00	2-5
	8090267272	2	Owned	3	3	House	Semi-Detached House	Concrete		0-50	NOT_LIS	TILE	HSWF	1997		200	100	300	1000	550	38	1	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090263669	2	Owned	1	1	House	Detached House	Brick		0-25	NOT_LIS	CONCRETE	SEMPF	1995		100	100	200	1000	550	33	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090265425	2	Owned	3	3	Bungalow	Link Detached Bungalow	Brick		0-25	NOT_LIS	TILE	INDM	1986		100	100	200	1000	550	37	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090262984	2	Owned	2	2	House	Semi-Detached House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	RETD	2000		100	100	200	1000	550	42	3	2	4	0	0	0	0-50	14	699.00	0.00	0
	8090264535	2	Owned	2	2	House	Semi-Detached House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	DIASB	2000		100	100	200	1000	550	42	1	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090263313	2	Owned	2	2	House	Detached House	Stone Construction		0-50	NOT_LIS	SLATE	HSWF	2000		100	100	200	1000	550	42	3	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090264766	2	Owned	1	1	House	Mid Terraced House	Concrete		0-25	NOT_LIS	CONCRETE	HSWF	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090263537	2	Owned	4	4	Bungalow	End Terraced Bungalow	Concrete		0-50	NOT_LIS	SLATE	HSWF	1985		200	100	300	1000	550	41	1	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090264618	2	Owned	2	2	House	Mid Terraced House	Timber Frame with Brick Walls		0-25	NOT_LIS	ASPHALT	RETD	2000		100	100	200	1000	550	42	1	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090263792	2	Owned	1	1	Dorma Bungalow	Mid Terraced Dorma Bungalow	Brick		0-25	NOT_LIS	CONCRETE	EMPF	1997		100	100	200	1000	550	36	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090265219	2	Owned	2	2	Bungalow	Link Detached Bungalow	Brick		0-25	NOT_LIS	ASPHALT	EMPF	1992		100	100	200	1000	550	41	1	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090267249	2	Owned	1	1	Flat	Flat - Basement	Brick		0-25	NOT_LIS	CONCRETE	EMPF	1987		100	100	200	1000	550	40	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090266670	2	Owned	2	2	House	Mid Terraced House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	DIASB	2000		100	100	200	1000	550	42	1	2	3	0	0	0	0-50	14	699.00	0.00	2-5
	8090265086	2	Owned	2	2	House	Semi-Detached House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	UNEMP	2000		100	100	200	1000	550	42	3	2	4	0	0	0	0-50	14	699.00	0.00	0
	8090266704	2	Owned	1	1	House	Mid Terraced House	Concrete		0-25	NOT_LIS	CONCRETE	UNEMP	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-25	14	699.00	0.00	2-5
	8090264105	2	Owned	2	2	House	End-Terraced House	Brick		0-25	NOT_LIS	ASPHALT	SEMPF	1995		100	100	200	1000	550	33	3	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090265359	2	Owned	4	4	House	Semi-Detached House	Concrete		0-50	NOT_LIS	SLATE	RETD	1982		200	100	300	1000	550	35	1	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090263164	2	Owned	1	1	House	Detached House	Concrete		0-50	NOT_LIS	CONCRETE	DIASB	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090262943	2	Owned	1	1	House	Detached House	Brick		0-50	NOT_LIS	TILE	UNEMP	2000		100	100	200	1000	550	42	3	1	4	0	0	0	0-50	14	699.00	0.00	0
	8090266050	2	Owned	3	3	Bungalow	Link Detached Bungalow	Concrete		0-50	NOT_LIS	TILE	RETD	1985		200	100	300	1000	550	37	1	1	3	0	0	0	0-50	14	699.00	0.00	2-5
	8090263990	2	Owned	2	2	Dorma Bungalow	Mid Terraced Dorma Bungalow	Brick		0-25	NOT_LIS	ASPHALT	INDM	1990		100	100	200	1000	550	39	1	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090264089	2	Owned	3	3	House	Detached House	Brick		0-25	NOT_LIS	TILE	INDM	1999		100	100	200	1000	550	40	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090265680	2	Owned	2	2	House	Link Detached House	Stone Construction		0-50	NOT_LIS	ASPHALT	UNEMP	1996		150	100	250	1000	550	36	3	2	4	0	0	0	0-50	14	699.00	0.00	0
	8090264337	2	Owned	1	1	Bungalow	Detached Bungalow	Concrete		0-50	NOT_LIS	CONCRETE	HSWF	1988		200	100	300	1000	550	40	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090267678	2	Mortgaged	2	2	Flat	Flat - Ground Floor	Brick		None	NOT_LIS	TILE	EMPF	1970		150	100	250	1000	550	21	1	2	3	0	0	0	None	14	699.00	0.00	0
	8090264519	2	Owned	2	2	House	Detached House	Stone Construction		0-25	NOT_LIS	SLATE	RETD	2000		100	100	200	1000	550	42	1	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090264915	2	Owned	1	1	House	Detached House	Concrete		0-25	NOT_LIS	CONCRETE	DIASB	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090266555	2	Owned	2	2	House	Detached House	Stone Construction		0-50	NOT_LIS	SLATE	HSWF	2000		100	100	200	1000	550	42	1	2	3	0	0	0	0-50	14	699.00	0.00	2-5
	8090263123	2	Owned	1	1	House	Semi-Detached House	Concrete		0-50	NOT_LIS	CONCRETE	DIASB	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090264600	2	Owned	1	1	House	Detached House	Concrete		0-25	NOT_LIS	CONCRETE	HSWF	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090266498	2	Owned	1	1	House	Mid Terraced House	Brick		0-50	NOT_LIS	TILE	DIASB	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-50	14	699.00	0.00	2-5
	8090264998	2	Owned	1	1	House	Semi-Detached House	Concrete		0-50	NOT_LIS	CONCRETE	UNEMP	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090265615	2	Owned	3	3	Town House	Detached Town House	Brick		0-25	NOT_LIS	TILE	EMPF	1996		100	100	200	1000	550	40	3	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090263263	2	Owned	1	1	House	Mid Terraced House	Brick		0-50	NOT_LIS	TILE	DIASB	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090264287	2	Owned	4	4	House	Detached House	Brick		0-25	NOT_LIS	SLATE	SEMPF	1987		100	100	200	1000	550	40	3	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090264220	2	Owned	2	2	Town House	Detached Town House	Brick		0-25	NOT_LIS	ASPHALT	EMPF	1988		100	100	200	1000	550	43	3	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090263271	2	Owned	2	2	House	Semi-Detached House	Stone Construction		0-50	NOT_LIS	SLATE	DIASB	2000		100	100	200	1000	550	42	3	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090265714	2	Owned	1	1	Bungalow	Semi-Detached Bungalow	Stone Construction		0-50	NOT_LIS	CONCRETE	STUD	2000		150	100	250	1000	550	36	3	1	4	0	0	0	0-50	14	699.00	0.00	0
	8090262257	2	Owned	1	1	Flat	Flat - Basement	Brick		0-25	NOT_LIS	CONCRETE	EMPF	1988		100	100	200	1000	450	37	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090265128	2	Owned	1	1	Flat	Flat - Basement	Brick		0-25	NOT_LIS	CONCRETE	EMPF	1999		100	100	200	1000	550	39	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090264246	2	Owned	4	4	Town House	Mid Terraced Town House	Concrete		0-50	NOT_LIS	SLATE	HSWF	1985		200	100	300	1000	550	42	3	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090265342	2	Owned	3	3	Flat	Flat - First Floor and Above	Stone Construction		0-50	NOT_LIS	TILE	DIASB	1985		150	100	250	1000	550	41	1	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090263966	2	Owned	3	3	Dorma Bungalow	Semi-Detached Dorma Bungalow	Brick		0-25	NOT_LIS	TILE	EMPF	1989		100	100	200	1000	550	37	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090263388	2	Owned	1	1	House	Semi-Detached House	Concrete		0-50	NOT_LIS	CONCRETE	DIASB	2000		100	100	200	1000	550	42	1	1	4	0	0	0	0-50	14	699.00	0.00	0
	8090262687	2	Owned	1	1	House	Detached House	Brick		0-50	NOT_LIS	TILE	RETD	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090267090	2	Owned	1	1	House	Mid Terraced House	Concrete		0-50	NOT_LIS	CONCRETE	HSWF	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090264279	2	Owned	3	3	House	Semi-Detached House	Concrete		0-50	NOT_LIS	TILE	RETD	1987		200	100	300	1000	550	40	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090266860	2	Owned	2	2	House	Mid Terraced House	Stone Construction		0-25	NOT_LIS	SLATE	SEMPF	2000		100	100	200	1000	550	42	3	2	4	0	0	0	0-25	14	699.00	0.00	2-5
	8090263925	2	Owned	2	2	Bungalow	Semi-Detached Bungalow	Stone Construction		0-50	NOT_LIS	ASPHALT	DIASB	1998		150	100	250	1000	550	34	3	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090262836	2	Owned	2	2	House	Detached House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	DIASB	2000		100	100	200	1000	550	42	3	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090262703	2	Owned	1	1	House	Semi-Detached House	Concrete		0-25	NOT_LIS	CONCRETE	RETD	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090266548	2	Owned	1	1	House	Semi-Detached House	Brick		0-50	NOT_LIS	TILE	HSWF	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-50	14	699.00	0.00	2-5
	8090264097	2	Owned	4	4	House	Link Detached House	Stone Construction		0-50	NOT_LIS	SLATE	DIASB	1998		150	100	250	1000	550	33	1	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090264634	2	Owned	2	2	House	Detached House	Stone Construction		0-50	NOT_LIS	SLATE	RETD	2000		100	100	200	1000	550	42	1	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090264931	2	Owned	1	1	House	Semi-Detached House	Brick		0-50	NOT_LIS	TILE	HSWF	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090263230	2	Owned	2	2	House	Mid Terraced House	Stone Construction		0-50	NOT_LIS	SLATE	UNEMP	2000		100	100	200	1000	550	42	3	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090265318	2	Owned	4	4	Town House	Link Detached Town House	Stone Construction		0-50	NOT_LIS	SLATE	STUD	1986		150	100	250	1000	550	37	1	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090264865	2	Owned	2	2	House	Mid Terraced House	Stone Construction		0-25	NOT_LIS	SLATE	HSWF	2000		100	100	200	1000	550	42	3	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090263933	2	Owned	4	4	Bungalow	Link Detached Bungalow	Brick		0-25	NOT_LIS	SLATE	SEMPF	1981		100	100	200	2000	550	41	3	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090264295	2	Owned	1	1	House	Link Detached House	Stone Construction		0-50	NOT_LIS	CONCRETE	UNEMP	1995		150	100	250	1000	550	38	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090265011	2	Owned	2	2	House	Detached House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	UNEMP	2000		100	100	200	1000	550	42	3	2	4	0	0	0	0-50	14	699.00	0.00	0
	8090264899	2	Owned	1	1	House	Mid Terraced House	Brick		0-50	NOT_LIS	TILE	DIASB	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090263206	2	Owned	1	1	House	Mid Terraced House	Concrete		0-25	NOT_LIS	CONCRETE	UNEMP	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090263099	2	Owned	2	2	House	Semi-Detached House	Timber Frame with Brick Walls		0-25	NOT_LIS	ASPHALT	DIASB	2000		100	100	200	1000	550	42	3	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090265375	2	Owned	2	2	House	Link Detached House	Stone Construction		0-50	NOT_LIS	ASPHALT	UNEMP	1999		150	100	250	1000	550	35	1	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090262992	2	Owned	1	1	House	Mid Terraced House	Concrete		0-50	NOT_LIS	CONCRETE	HSWF	2000		100	100	200	1000	550	42	1	1	4	0	0	0	0-50	14	699.00	0.00	0
	8090264121	2	Owned	4	4	Bungalow	Detached Bungalow	Concrete		0-50	NOT_LIS	SLATE	VOLUN	2000		200	100	300	1000	550	40	3	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090264873	2	Owned	1	1	House	Semi-Detached House	Concrete		0-25	NOT_LIS	CONCRETE	HSWF	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090266613	2	Owned	2	2	House	Detached House	Timber Frame with Brick Walls		0-50	NOT_LIS	ASPHALT	RETD	2000		100	100	200	1000	550	42	1	2	3	0	0	0	0-50	14	699.00	0.00	2-5
	8090263347	2	Owned	2	2	House	Semi-Detached House	Stone Construction		0-50	NOT_LIS	SLATE	UNEMP	2000		100	100	200	1000	550	42	1	2	4	0	0	0	0-50	14	699.00	0.00	0
	8090262661	2	Owned	1	1	House	Mid Terraced House	Concrete		0-25	NOT_LIS	CONCRETE	UNEMP	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090264626	2	Owned	1	1	House	Semi-Detached House	Brick		0-50	NOT_LIS	TILE	UNEMP	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090263701	2	Owned	1	1	Bungalow	Semi-Detached Bungalow	Stone Construction		0-50	NOT_LIS	CONCRETE	STUD	1987		150	100	250	1000	550	34	1	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090263222	2	Owned	1	1	House	Detached House	Brick		0-50	NOT_LIS	TILE	DIASB	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090265961	2	Owned	2	2	House	Mid Terraced House	Concrete		0-50	NOT_LIS	ASPHALT	RETD	1996		200	100	300	1000	550	39	1	2	3	0	0	0	0-50	14	699.00	0.00	2-5
	8090262786	2	Owned	1	1	House	Mid Terraced House	Concrete		0-50	NOT_LIS	CONCRETE	UNEMP	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090262869	2	Owned	1	1	House	Detached House	Concrete		0-25	NOT_LIS	CONCRETE	HSWF	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090263859	2	Owned	3	3	Flat	Flat - First Floor and Above	Brick		0-25	NOT_LIS	TILE	SEMPF	1984		100	100	200	1000	550	38	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090263487	2	Owned	3	3	House	End-Terraced House	Brick		0-25	NOT_LIS	TILE	SEMPF	1993		100	100	200	1000	550	38	1	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090262430	2	Owned	1	1	House	Detached House	Brick		0-50	NOT_LIS	TILE	HSWF	2000		100	100	200	1000	550	42	1	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090264378	2	Owned	4	4	Bungalow	End Terraced Bungalow	Concrete		0-50	NOT_LIS	SLATE	RETD	1987		200	100	300	1000	550	38	3	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090265268	2	Owned	3	3	Bungalow	Link Detached Bungalow	Concrete		0-50	NOT_LIS	TILE	RETD	1984		200	100	300	1000	550	38	1	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090262448	2	Owned	2	2	House	Mid Terraced House	Stone Construction		0-25	NOT_LIS	SLATE	DIASB	2000		100	100	200	1000	550	42	1	2	3	0	0	0	0-25	14	699.00	0.00	0
	8090263107	2	Owned	1	1	House	Detached House	Brick		0-25	NOT_LIS	TILE	HSWF	2000		100	100	200	1000	550	42	3	1	3	0	0	0	0-25	14	699.00	0.00	0
	8090265946	2	Owned	4	4	House	Detached House	Brick		0-25	NOT_LIS	SLATE	INDM	1980		100	100	200	1000	550	41	1	2	3	0	0	0	0-25	14	699.00	0.00	2-5
	8090263065	2	Owned	1	1	House	Semi-Detached House	Brick		0-50	NOT_LIS	TILE	RETD	2000		100	100	200	1000	550	42	1	1	4	0	0	0	0-50	14	699.00	0.00	0
	8090264329	2	Owned	4	4	Bungalow	Semi-Detached Bungalow	Stone Construction		0-50	NOT_LIS	SLATE	STUD	1994		150	100	250	1000	550	41	3	2	3	0	0	0	0-50	14	699.00	0.00	0
	8090265201	2	Owned	1	1	Bungalow	Detached Bungalow	Concrete		0-50	NOT_LIS	CONCRETE	VOLUN	1987		200	100	300	1000	550	35	1	1	3	0	0	0	0-50	14	699.00	0.00	0
	8090263628	2	Owned	1	1	Town House	Mid Terraced Town House	Concrete		0-50	NOT_LIS	CONCRETE	HSWF	1990		200	100	300	1000	550	34	1	1	3	0	0	0	0-50	14	699.00	0.00	0
